	_id	name	search_url
0	VIVLI_d9f829c5-46fd-4417-b869-adfa60972c44	Dataset from SMART: A Double-Blind, Randomized, Placebo-Controlled Surveillance Study of Asthma Event Outcomes in Subjects Receiving Either Usual Pharmacotherapy of Asthma or Usual Pharmacotherapy Plus Salmeterol 42mcg Twice Daily	"https://www.google.com/search?q=""Dataset+from+SMART:+A+Double-Blind,+Randomized,+Placebo-Controlled+Surveillance+Study+of+Asthma+Event+Outcomes+in+Subjects+Receiving+Either+Usual+Pharmacotherapy+of+Asthma+or+Usual+Pharmacotherapy+Plus+Salmeterol+42mcg+Twice+Daily"""
1	ZENODO_902654	Supplementary material 20 from: de Jong Y, Kouwenberg J, Boumans L, Hussey C, Hyam R, Nicolson N, Kirk P, Paton A, Michel E, Guiry M, Boegh P, Pedersen H, Enghoff H, von Raab-Straube E, Güntsch A, Geoffroy M, Müller A, Kohlbecker A, Berendsohn W, Appeltans W, Arvanitidis C, Vanhoorne B, Declerck J, Vandepitte L, Hernandez F, Nash R, Costello M, Ouvrard D, Bezard-Falgas P, Bourgoin T, Wetzel F, Glöckler F, Korb G, Ring C, Hagedorn G, Häuser C, Aktaç N, Asan A, Ardelean A, Borges P, Dhora D, Khachatryan H, Malicky M, Ibrahimov S, Tuzikov A, De Wever A, Moncheva S, Spassov N, Chobot K, Popov A, Boršić I, Sfenthourakis S, Kõljalg U, Uotila P, Olivier G, Dauvin J, Tarkhnishvili D, Chaladze G, Tuerkay M, Legakis A, Peregovits L, Gudmundsson G, Ólafsson E, Lysaght L, Galil B, Raimondo F, Domina G, Stoch F, Minelli A, Spungis V, Budrys E, Olenin S, Turpel A, Walisch T, Krpach V, Gambin M, Ungureanu L, Karaman G, Kleukers R, Stur E, Aagaard K, Valland N, Moen T, Bogdanowicz W, Tykarski P, Węsławski J, Kędra M, M. de Frias Martins A, Abreu A, Silva R, Medvedev S, Ryss A, Šimić S, Marhold K, Stloukal E, Tome D, Ramos M, Valdés B, Pina F, Kullander S, Telenius A, Gonseth Y, Tschudin P, Sergeyeva O, Vladymyrov V, Rizun V, Raper C, Lear D, Stoev P, Penev L, Rubio A, Backeljau T, Saarenmaa H, Ulenberg S (2015) PESI - a taxonomic backbone for Europe. Biodiversity Data Journal 3: e5848. https://doi.org/10.3897/BDJ.3.e5848	"https://www.google.com/search?q=""Supplementary+material+20+from:+de+Jong+Y,+Kouwenberg+J,+Boumans+L,+Hussey+C,+Hyam+R,+Nicolson+N,+Kirk+P,+Paton+A,+Michel+E,+Guiry+M,+Boegh+P,+Pedersen+H,+Enghoff+H,+von+Raab-Straube+E,+Güntsch+A,+Geoffroy+M,+Müller+A,+Kohlbecker+A,+Berendsohn+W,+Appeltans+W,+Arvanitidis+C,+Vanhoorne+B,+Declerck+J,+Vandepitte+L,+Hernandez+F,+Nash+R,+Costello+M,+Ouvrard+D,+Bezard-Falgas+P,+Bourgoin+T,+Wetzel+F,+Glöckler+F,+Korb+G,+Ring+C,+Hagedorn+G,+Häuser+C,+Aktaç+N,+Asan+A,+Ardelean+A,+Borges+P,+Dhora+D,+Khachatryan+H,+Malicky+M,+Ibrahimov+S,+Tuzikov+A,+De+Wever+A,+Moncheva+S,+Spassov+N,+Chobot+K,+Popov+A,+Boršić+I,+Sfenthourakis+S,+Kõljalg+U,+Uotila+P,+Olivier+G,+Dauvin+J,+Tarkhnishvili+D,+Chaladze+G,+Tuerkay+M,+Legakis+A,+Peregovits+L,+Gudmundsson+G,+Ólafsson+E,+Lysaght+L,+Galil+B,+Raimondo+F,+Domina+G,+Stoch+F,+Minelli+A,+Spungis+V,+Budrys+E,+Olenin+S,+Turpel+A,+Walisch+T,+Krpach+V,+Gambin+M,+Ungureanu+L,+Karaman+G,+Kleukers+R,+Stur+E,+Aagaard+K,+Valland+N,+Moen+T,+Bogdanowicz+W,+Tykarski+P,+Węsławski+J,+Kędra+M,+M.+de+Frias+Martins+A,+Abreu+A,+Silva+R,+Medvedev+S,+Ryss+A,+Šimić+S,+Marhold+K,+Stloukal+E,+Tome+D,+Ramos+M,+Valdés+B,+Pina+F,+Kullander+S,+Telenius+A,+Gonseth+Y,+Tschudin+P,+Sergeyeva+O,+Vladymyrov+V,+Rizun+V,+Raper+C,+Lear+D,+Stoev+P,+Penev+L,+Rubio+A,+Backeljau+T,+Saarenmaa+H,+Ulenberg+S+(2015)+PESI+-+a+taxonomic+backbone+for+Europe.+Biodiversity+Data+Journal+3:+e5848.+https://doi.org/10.3897/BDJ.3.e5848"""
2	NCBI_SRA_SRP132116	Prunus humilis Transcriptome or Gene expression	"https://www.google.com/search?q=""Prunus+humilis+Transcriptome+or+Gene+expression"""
3	S-EPMC6638923	Secular trends in HIV/AIDS mortality in China from 1990 to 2016: Gender disparities.	"https://www.google.com/search?q=""Secular+trends+in+HIV/AIDS+mortality+in+China+from+1990+to+2016:+Gender+disparities."""
4	VIVLI_82373528-2fbb-41a7-a800-7f425d4434cf	Dataset from A 12-month, Open Label, Randomised, Effectiveness Study to Evaluate Fluticasone Furoate (FF, GW685698)/Vilanterol (VI, GW642444) Inhalation Powder Delivered Once Daily Via a Novel Dry Powder Inhaler Compared With Usual Maintenance Therapy in Subjects With Asthma	"https://www.google.com/search?q=""Dataset+from+A+12-month,+Open+Label,+Randomised,+Effectiveness+Study+to+Evaluate+Fluticasone+Furoate+(FF,+GW685698)/Vilanterol+(VI,+GW642444)+Inhalation+Powder+Delivered+Once+Daily+Via+a+Novel+Dry+Powder+Inhaler+Compared+With+Usual+Maintenance+Therapy+in+Subjects+With+Asthma"""
5	VIVLI_6a9cdc24-586a-4448-97ce-fe6687cde5ba	Dataset from A Blinded, Randomized, Placebo-controlled, Dose Ranging Study to Evaluate the Safety, Tolerability, Pharmacokinetics, and Antiviral Activity of Multiple Doses of ABT-450 With Ritonavir (ABT-450/r), ABT-333 or ABT-072 Each Administered Alone and in Combination With Peginterferon α-2a and Ribavirin (PegIFN/RBV) in Treatment-Naïve Subjects With Genotype 1 Chronic Hepatitis C Virus (HCV) Infection	"https://www.google.com/search?q=""Dataset+from+A+Blinded,+Randomized,+Placebo-controlled,+Dose+Ranging+Study+to+Evaluate+the+Safety,+Tolerability,+Pharmacokinetics,+and+Antiviral+Activity+of+Multiple+Doses+of+ABT-450+With+Ritonavir+(ABT-450/r),+ABT-333+or+ABT-072+Each+Administered+Alone+and+in+Combination+With+Peginterferon+α-2a+and+Ribavirin+(PegIFN/RBV)+in+Treatment-Naïve+Subjects+With+Genotype+1+Chronic+Hepatitis+C+Virus+(HCV)+Infection"""
6	ZENODO_7043385	Replication package of SkCoder	"https://www.google.com/search?q=""Replication+package+of+SkCoder"""
7	ZENODO_5499846	Philosophy [IO Islamic 2085] شرح المواقف	"https://www.google.com/search?q=""Philosophy+[IO+Islamic+2085]+شرح+المواقف"""
8	VIVLI_2dfebc41-7c5c-427d-9a4d-f8c88b3cfd0a	Dataset from Asthma Clinical Research Network (ACRN) IMProving Asthma Control Trial (IMPACT) (NCT00000577)	"https://www.google.com/search?q=""Dataset+from+Asthma+Clinical+Research+Network+(ACRN)+IMProving+Asthma+Control+Trial+(IMPACT)+(NCT00000577)"""
9	GSE180658	Oxidative damage and delayed replication allow viable Mycobacterium tuberculosis to go undetected II	"https://www.google.com/search?q=""Oxidative+damage+and+delayed+replication+allow+viable+Mycobacterium+tuberculosis+to+go+undetected+II"""
10	S-EPMC5103354	Parasitological correlates of Plasmodium ovale curtisi and Plasmodium ovale wallikeri infection.	"https://www.google.com/search?q=""Parasitological+correlates+of+Plasmodium+ovale+curtisi+and+Plasmodium+ovale+wallikeri+infection."""
11	GSE162247	SARS-CoV-2 stock sequencing for infection of nonhuman primates	"https://www.google.com/search?q=""SARS-CoV-2+stock+sequencing+for+infection+of+nonhuman+primates"""
