	url in NDE	last crawled	indexed in google?	_id
687	https://data.niaid.nih.gov/resources?id=veupathdb_DS_5bedb81fb1	2/25/2024	no	veupathdb_DS_5bedb81fb1
512	https://data.niaid.nih.gov/resources?id=veupathdb_DS_a34899da07	2/25/2024	no	veupathdb_DS_a34899da07
32	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1809	3/11/2024	no	IMMPORT_SDY1809
576	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY22	2/25/2024	no	IMMPORT_SDY22
86	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY368	3/10/2024	no	IMMPORT_SDY368
155	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1887	3/10/2024	no	IMMPORT_SDY1887
721	https://data.niaid.nih.gov/resources?id=veupathdb_DS_5d2faac80e	2/25/2024	no	veupathdb_DS_5d2faac80e
241	https://data.niaid.nih.gov/resources?id=veupathdb_DS_8ecf65d1b7	2/25/2024	no	veupathdb_DS_8ecf65d1b7
492	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1085	2/25/2024	no	IMMPORT_SDY1085
91	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY549	3/10/2024	no	IMMPORT_SDY549
140	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2270	3/10/2024	no	IMMPORT_SDY2270
9	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1818	3/11/2024	no	IMMPORT_SDY1818
129	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY1149	3/10/2024	no	IMMPORT_SDY1149
183	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2222	3/10/2024	no	IMMPORT_SDY2222
60	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY524	3/10/2024	no	IMMPORT_SDY524
180	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY387	3/10/2024	no	IMMPORT_SDY387
894	https://data.niaid.nih.gov/resources?id=veupathdb_DS_9b06e1ecca	2/24/2024	no	veupathdb_DS_9b06e1ecca
528	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY34	2/25/2024	no	IMMPORT_SDY34
666	https://data.niaid.nih.gov/resources?id=veupathdb_DS_661d09c94f	2/25/2024	no	veupathdb_DS_661d09c94f
269	https://data.niaid.nih.gov/resources?id=veupathdb_DS_ab79982f1f	2/25/2024	no	veupathdb_DS_ab79982f1f
99	https://data.niaid.nih.gov/resources?id=IMMPORT_SDY2251	3/10/2024	no	IMMPORT_SDY2251
263	https://data.niaid.nih.gov/resources?id=veupathdb_DS_4bf5ed3930	2/25/2024	no	veupathdb_DS_4bf5ed3930
802	https://data.niaid.nih.gov/resources?id=veupathdb_DS_4d16290906	2/25/2024	no	veupathdb_DS_4d16290906
699	https://data.niaid.nih.gov/resources?id=veupathdb_DS_cb8ea47958	2/25/2024	no	veupathdb_DS_cb8ea47958
610	https://data.niaid.nih.gov/resources?id=veupathdb_DS_4debbdfe45	2/25/2024	no	veupathdb_DS_4debbdfe45
558	https://data.niaid.nih.gov/resources?id=veupathdb_DS_586b8aaee2	2/25/2024	no	veupathdb_DS_586b8aaee2
485	https://data.niaid.nih.gov/resources?id=veupathdb_DS_2b7b4820e2	2/25/2024	no	veupathdb_DS_2b7b4820e2
887	https://data.niaid.nih.gov/resources?id=veupathdb_DS_a363c3f7a3	2/24/2024	no	veupathdb_DS_a363c3f7a3
759	https://data.niaid.nih.gov/resources?id=veupathdb_DS_c732cd15f2	2/25/2024	no	veupathdb_DS_c732cd15f2
214	https://data.niaid.nih.gov/resources?id=GEO_GSE180658	2/28/2024	no	GEO_GSE180658
827	https://data.niaid.nih.gov/resources?id=veupathdb_DS_90acb84680	2/25/2024	no	veupathdb_DS_90acb84680
