	_id	name	search_url
0	veupathdb_DS_5bedb81fb1	A microarray-based analysis of transcriptional compartmentalization in the alimentary canal of Anopheles gambiae (Diptera: Culicidae) larvae	"https://www.google.com/search?q=""A+microarray-based+analysis+of+transcriptional+compartmentalization+in+the+alimentary+canal+of+Anopheles+gambiae+(Diptera:+Culicidae)+larvae"""
1	veupathdb_DS_a34899da07	<i>Rhinocladiella mackenziei</i> CBS 650.93 Genome Sequence and Annotation	"https://www.google.com/search?q=""Rhinocladiella+mackenziei+CBS+650.93+Genome+Sequence+and+Annotation"""
2	IMMPORT_SDY1809	Efficacy of clinical evaluations for COVID-19 on the front line	"https://www.google.com/search?q=""Efficacy+of+clinical+evaluations+for+COVID-19+on+the+front+line"""
3	IMMPORT_SDY22	Genotype Polymorphism effects on Typhoid Vaccine responses.	"https://www.google.com/search?q=""Genotype+Polymorphism+effects+on+Typhoid+Vaccine+responses."""
4	IMMPORT_SDY387	Systems Biology Approach to Study Influenza Vaccine 2010-11 in Healthy Children (see companion studies SDY144, SDY368, SDY387, SDY522)	"https://www.google.com/search?q=""Systems+Biology+Approach+to+Study+Influenza+Vaccine+2010-11+in+Healthy+Children+(see+companion+studies+SDY144,+SDY368,+SDY387,+SDY522)"""
5	IMMPORT_SDY1887	Safety, tolerability and immunogenicity in age de-escalation of PfSPZ Vaccine in Equatorial Guinea (EGSPZV2)	"https://www.google.com/search?q=""Safety,+tolerability+and+immunogenicity+in+age+de-escalation+of+PfSPZ+Vaccine+in+Equatorial+Guinea+(EGSPZV2)"""
6	veupathdb_DS_5d2faac80e	Developmental transcriptome profiling of sexed Anopheles gambiae pre-adult stages using strand-specific RNA-Seq.	"https://www.google.com/search?q=""Developmental+transcriptome+profiling+of+sexed+Anopheles+gambiae+pre-adult+stages+using+strand-specific+RNA-Seq."""
7	veupathdb_DS_8ecf65d1b7	Blood stage transcriptome (3D7)	"https://www.google.com/search?q=""Blood+stage+transcriptome+(3D7)"""
8	IMMPORT_SDY1085	RNAseq of Tumor-Associated Microglia Reveals Ccl5 as a Stromal Chemokine Critical for NF1 Glioma Growth	"https://www.google.com/search?q=""RNAseq+of+Tumor-Associated+Microglia+Reveals+Ccl5+as+a+Stromal+Chemokine+Critical+for+NF1+Glioma+Growth"""
9	IMMPORT_SDY549	HALT-MS ITN033AI: High-Dose Immunosuppression and Autologous Transplantation for Multiple Sclerosis 	"https://www.google.com/search?q=""HALT-MS+ITN033AI:+High-Dose+Immunosuppression+and+Autologous+Transplantation+for+Multiple+Sclerosis+"""
10	IMMPORT_SDY2270	COVID19 SARS Vaccinations: Systemic Allergic Reactions to SARS-CoV-2 Vaccinations	"https://www.google.com/search?q=""COVID19+SARS+Vaccinations:+Systemic+Allergic+Reactions+to+SARS-CoV-2+Vaccinations"""
11	IMMPORT_SDY1818	Correlates of Protection Against SARS-CoV-2 in Rhesus Macaques	"https://www.google.com/search?q=""Correlates+of+Protection+Against+SARS-CoV-2+in+Rhesus+Macaques"""
12	IMMPORT_SDY1149	Project 3 - Optimization experiments DCs DV2 and DV4 - MBAA	"https://www.google.com/search?q=""Project+3+-+Optimization+experiments+DCs+DV2+and+DV4+-+MBAA"""
13	IMMPORT_SDY2222	Durability of Booster mRNA Vaccine against SARS-CoV-2 BA.2.12.1, BA.4, and BA.5 Subvariants	"https://www.google.com/search?q=""Durability+of+Booster+mRNA+Vaccine+against+SARS-CoV-2+BA.2.12.1,+BA.4,+and+BA.5+Subvariants"""
14	IMMPORT_SDY524	AbATE ITN027AI:  Autoimmunity-blocking Antibody for Tolerance in Recently Diagnosed Type 1 Diabetes	"https://www.google.com/search?q=""AbATE+ITN027AI:++Autoimmunity-blocking+Antibody+for+Tolerance+in+Recently+Diagnosed+Type+1+Diabetes"""
15	IMMPORT_SDY387	Systems Biology Approach to Study Influenza Vaccine 2010-11 in Healthy Children (see companion studies SDY144, SDY368, SDY387, SDY522)	"https://www.google.com/search?q=""Systems+Biology+Approach+to+Study+Influenza+Vaccine+2010-11+in+Healthy+Children+(see+companion+studies+SDY144,+SDY368,+SDY387,+SDY522)"""
16	veupathdb_DS_9b06e1ecca	Aspergillus fumigatus transcription factor KO collection	"https://www.google.com/search?q=""Aspergillus+fumigatus+transcription+factor+KO+collection"""
17	IMMPORT_SDY34	Comparison of immune response to influenza vaccine in transplant patients and healthy controls	"https://www.google.com/search?q=""Comparison+of+immune+response+to+influenza+vaccine+in+transplant+patients+and+healthy+controls"""
18	veupathdb_DS_661d09c94f	Identification of molecular components for engineering the male germline in Aedes aegypti and Ceratitis capitata	"https://www.google.com/search?q=""Identification+of+molecular+components+for+engineering+the+male+germline+in+Aedes+aegypti+and+Ceratitis+capitata"""
19	veupathdb_DS_ab79982f1f	<i>Pichia kudriavzevii</i> strain CBS573 Genome Sequence and Annotation	"https://www.google.com/search?q=""Pichia+kudriavzevii+strain+CBS573+Genome+Sequence+and+Annotation"""
20	IMMPORT_SDY2251	Immunogenicity of NDV-HRP-S in Sprague Dawley Rats	"https://www.google.com/search?q=""Immunogenicity+of+NDV-HRP-S+in+Sprague+Dawley+Rats"""
21	veupathdb_DS_4bf5ed3930	Midgut and carcass with and without Trypanosoma infection	"https://www.google.com/search?q=""Midgut+and+carcass+with+and+without+Trypanosoma+infection"""
22	veupathdb_DS_4d16290906	Gene expression of F. graminearum during maize stalk infection	"https://www.google.com/search?q=""Gene+expression+of+F.+graminearum+during+maize+stalk+infection"""
23	veupathdb_DS_cb8ea47958	Multi-country Survey Revealed Prevalent and Novel F1534S Mutation in Voltage-Gated Sodium Channel (VGSC) Gene in Aedes albopictus	"https://www.google.com/search?q=""Multi-country+Survey+Revealed+Prevalent+and+Novel+F1534S+Mutation+in+Voltage-Gated+Sodium+Channel+(VGSC)+Gene+in+Aedes+albopictus"""
24	veupathdb_DS_4debbdfe45	P. falciparum blood meal infected midguts and salivary glands at 7 and 14 days post-infection, respectively	"https://www.google.com/search?q=""P.+falciparum+blood+meal+infected+midguts+and+salivary+glands+at+7+and+14+days+post-infection,+respectively"""
25	veupathdb_DS_586b8aaee2	<i>Plasmodium knowlesi</i> strain A1H1 Genome Sequence and Annotation	"https://www.google.com/search?q=""Plasmodium+knowlesi+strain+A1H1+Genome+Sequence+and+Annotation"""
